ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,to_hop_mon,predicted_diem,newmajor,nam
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,616,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao)",D78,36.66,0,2025
THV,Đại học Hùng Vương,Phú Thọ,7140201,Giáo dục Mầm non,M00,34.02,0,2025
THV,Đại học Hùng Vương,Phú Thọ,7140206,Giáo dục Thể chất,T00,33.76,0,2025
TDH,Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,Hà Nội,7140206,Giáo dục Thể chất,"T00, T02, T05",34.11,0,2025
TDH,Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,Hà Nội,7140208,Giáo dục Quốc phòng - An ninh,"C00, C19, D66",35.58,1,2025
THV,Đại học Hùng Vương,Phú Thọ,7140221,Sư phạm Âm nhạc,N00,33.38,0,2025
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,"D01, D14, D78, D90",37.21,0,2025
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,"D01, D04, D78, D90",37.32,0,2025
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140235,Sư phạm Tiếng Đức,"D01, D05, D78, D90",35.17,0,2025
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,"D01, D06, D78, D90",36.64,0,2025
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,"D01, D78, D90",36.64,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7210403,Thiết kế đồ họa,"H00, H01, H02, H03",33.17,0,2025
DTT,Đại học Tôn Đức Thắng,TP HCM,7210404,Thiết kế thời trang,"H00, H01, H02, H03",31.27,0,2025
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,7220201,Ngôn ngữ Anh,"A01, D01",34.73,0,2025
